Saint Lucia,North America,1,1,0,0,0,1,0
Saint Vincent and the Grenadines,North America,1,1,0,0,0,1,0
Trinidad and Tobago,North America,1,1,1,0,0,1,0
United States,North America,0,0,3,0,0,1,0
Argentina,South America,0,0,3,0,1,1,0
Bolivia,South America,0,1,1,0,0,0,0
Brazil,South America,0,1,3,0,0,0,0
Chile,South America,0,0,2,0,1,1,0
Colombia,South America,0,1,3,0,0,0,0
Ecuador,South America,0,1,1,0,0,0,0
Guyana,South America,0,1,0,0,0,0,0
Paraguay,South America,0,1,1,0,0,0,0
Peru,South America,0,1,2,0,1,0,0
Suriname,South America,0,1,0,0,0,0,0
Uruguay,South America,0,0,1,0,0,1,0
Venezuela,South America,0,1,2,0,0,0,0
Australia,Oceania,0,0,2,0,1,1,0
Fiji,Oceania,1,1,0,0,0,0,0
Kiribati,Oceania,1,1,0,0,0,0,0
Marshall Islands,Oceania,1,1,0,0,0,0,0
Micronesia,Oceania,1,1,0,0,0,0,0
Nauru,Oceania,1,1,0,0,0,1,0
New Zealand,Oceania,0,0,1,0,1,1,0
Palau,Oceania,1,1,0,0,0,0,0
Papua New Guinea,Oceania,0,1,1,0,0,0,0
Samoa,Oceania,1,1,0,0,0,0,0
Solomon Islands,Oceania,1,1,0,0,0,0,0
Tonga,Oceania,1,1,0,0,0,0,0
Tuvalu,Oceania,1,1,0,0,0,0,0
Vanuatu,Oceania,1,1,0,0,0,0,0
New Caledonia,Oceania,1,1,0,0,0,0,0
Niue,Oceania,1,1,0,0,0,0,0
